PC=00000047, SP=00000FEC, A=00000001, B=00000000
PC=00000048, SP=00000FEC, A=0000003B, B=00000001
PC=00000049, SP=00000FEF, A=0000003B, B=00000001
PC=0000003B, SP=00000FEF, A=00000001, B=00000001
PC=0000003C, SP=00000FEF, A=00000007, B=00000001
PC=0000003D, SP=00000FEF, A=00000001, B=00000001
PC=0000003E, SP=00000FEF, A=00000001, B=00000001
PC=0000003F, SP=00000FEF, A=00000001, B=00000001
PC=00000024, SP=00000FEF, A=00000040, B=00000001
PC=00000025, SP=00000FEC, A=00000040, B=00000001
PC=00000026, SP=00000FEC, A=00000001, B=00000001
PC=00000027, SP=00000FEC, A=00000001, B=00000001
PC=00000028, SP=00000FEC, A=00000001, B=00000001
PC=00000029, SP=00000FEC, A=00000002, B=00000001
PC=0000002A, SP=00000FEC, A=00000007, B=00000002
PC=0000002B, SP=00000FEC, A=FFFFFFFB, B=00000002
PC=00000030, SP=00000FEC, A=FFFFFFFB, B=00000002
PC=00000031, SP=00000FEC, A=00000001, B=FFFFFFFB
PC=00000032, SP=00000FEC, A=00000001, B=FFFFFFFB
PC=00000033, SP=00000FEC, A=00000007, B=00000001
PC=00000034, SP=00000FEC, A=00000006, B=00000001
PC=00000035, SP=00000FEC, A=00000001, B=00000001
PC=00000036, SP=00000FEB, A=00000001, B=00000001
PC=00000037, SP=00000FEB, A=00000006, B=00000001
PC=00000038, SP=00000FEB, A=00000001, B=00000001
PC=00000039, SP=00000FEB, A=00000001, B=00000001
PC=0000003A, SP=00000FEB, A=00000000, B=00000001
PC=00000024, SP=00000FEB, A=0000003B, B=00000000
PC=00000025, SP=00000FE8, A=0000003B, B=00000000
PC=00000026, SP=00000FE8, A=00000000, B=00000000
PC=00000027, SP=00000FE8, A=00000000, B=00000000
PC=00000028, SP=00000FE8, A=00000001, B=00000000
PC=00000029, SP=00000FE8, A=00000000, B=00000000
PC=0000002A, SP=00000FE8, A=00000006, B=00000000
PC=0000002B, SP=00000FE8, A=FFFFFFFA, B=00000000
PC=00000030, SP=00000FE8, A=FFFFFFFA, B=00000000
PC=00000031, SP=00000FE8, A=00000000, B=FFFFFFFA
PC=00000046, SP=00000FE8, A=00000000, B=FFFFFFFA
PC=00000047, SP=00000FE8, A=00000001, B=00000000
PC=00000048, SP=00000FE8, A=0000003B, B=00000001
PC=00000049, SP=00000FEB, A=0000003B, B=00000001
PC=0000003B, SP=00000FEB, A=00000001, B=00000001
PC=0000003C, SP=00000FEB, A=00000006, B=00000001
PC=0000003D, SP=00000FEB, A=00000001, B=00000001
PC=0000003E, SP=00000FEB, A=00000001, B=00000001
PC=0000003F, SP=00000FEB, A=00000001, B=00000001
PC=00000024, SP=00000FEB, A=00000040, B=00000001
PC=00000025, SP=00000FE8, A=00000040, B=00000001
PC=00000026, SP=00000FE8, A=00000001, B=00000001
PC=00000027, SP=00000FE8, A=00000001, B=00000001
PC=00000028, SP=00000FE8, A=00000001, B=00000001
PC=00000029, SP=00000FE8, A=00000002, B=00000001
PC=0000002A, SP=00000FE8, A=00000006, B=00000002
PC=0000002B, SP=00000FE8, A=FFFFFFFC, B=00000002
PC=00000030, SP=00000FE8, A=FFFFFFFC, B=00000002
PC=00000031, SP=00000FE8, A=00000001, B=FFFFFFFC
PC=00000032, SP=00000FE8, A=00000001, B=FFFFFFFC
PC=00000033, SP=00000FE8, A=00000006, B=00000001
PC=00000034, SP=00000FE8, A=00000005, B=00000001
PC=00000035, SP=00000FE8, A=00000001, B=00000001
PC=00000036, SP=00000FE7, A=00000001, B=00000001
PC=00000037, SP=00000FE7, A=00000005, B=00000001
PC=00000038, SP=00000FE7, A=00000001, B=00000001
PC=00000039, SP=00000FE7, A=00000001, B=00000001
PC=0000003A, SP=00000FE7, A=00000000, B=00000001
PC=00000024, SP=00000FE7, A=0000003B, B=00000000
PC=00000025, SP=00000FE4, A=0000003B, B=00000000
PC=00000026, SP=00000FE4, A=00000000, B=00000000
PC=00000027, SP=00000FE4, A=00000000, B=00000000
PC=00000028, SP=00000FE4, A=00000001, B=00000000
PC=00000029, SP=00000FE4, A=00000000, B=00000000
PC=0000002A, SP=00000FE4, A=00000005, B=00000000
PC=0000002B, SP=00000FE4, A=FFFFFFFB, B=00000000
PC=00000030, SP=00000FE4, A=FFFFFFFB, B=00000000
PC=00000031, SP=00000FE4, A=00000000, B=FFFFFFFB
PC=00000046, SP=00000FE4, A=00000000, B=FFFFFFFB
PC=00000047, SP=00000FE4, A=00000001, B=00000000
PC=00000048, SP=00000FE4, A=0000003B, B=00000001
PC=00000049, SP=00000FE7, A=0000003B, B=00000001
PC=0000003B, SP=00000FE7, A=00000001, B=00000001
PC=0000003C, SP=00000FE7, A=00000005, B=00000001
PC=0000003D, SP=00000FE7, A=00000001, B=00000001
PC=0000003E, SP=00000FE7, A=00000001, B=00000001
PC=0000003F, SP=00000FE7, A=00000001, B=00000001
PC=00000024, SP=00000FE7, A=00000040, B=00000001
PC=00000025, SP=00000FE4, A=00000040, B=00000001
PC=00000026, SP=00000FE4, A=00000001, B=00000001
PC=00000027, SP=00000FE4, A=00000001, B=00000001
PC=00000028, SP=00000FE4, A=00000001, B=00000001
PC=00000029, SP=00000FE4, A=00000002, B=00000001
PC=0000002A, SP=00000FE4, A=00000005, B=00000002
PC=0000002B, SP=00000FE4, A=FFFFFFFD, B=00000002
PC=00000030, SP=00000FE4, A=FFFFFFFD, B=00000002
PC=00000031, SP=00000FE4, A=00000001, B=FFFFFFFD
PC=00000032, SP=00000FE4, A=00000001, B=FFFFFFFD
PC=00000033, SP=00000FE4, A=00000005, B=00000001
PC=00000034, SP=00000FE4, A=00000004, B=00000001
PC=00000035, SP=00000FE4, A=00000001, B=00000001
PC=00000036, SP=00000FE3, A=00000001, B=00000001
PC=00000037, SP=00000FE3, A=00000004, B=00000001
PC=00000038, SP=00000FE3, A=00000001, B=00000001
PC=00000039, SP=00000FE3, A=00000001, B=00000001
PC=0000003A, SP=00000FE3, A=00000000, B=00000001
PC=00000024, SP=00000FE3, A=0000003B, B=00000000
PC=00000025, SP=00000FE0, A=0000003B, B=00000000
PC=00000026, SP=00000FE0, A=00000000, B=00000000
PC=00000027, SP=00000FE0, A=00000000, B=00000000
PC=00000028, SP=00000FE0, A=00000001, B=00000000
PC=00000029, SP=00000FE0, A=00000000, B=00000000
PC=0000002A, SP=00000FE0, A=00000004, B=00000000
PC=0000002B, SP=00000FE0, A=FFFFFFFC, B=00000000
PC=00000030, SP=00000FE0, A=FFFFFFFC, B=00000000
PC=00000031, SP=00000FE0, A=00000000, B=FFFFFFFC
PC=00000046, SP=00000FE0, A=00000000, B=FFFFFFFC
PC=00000047, SP=00000FE0, A=00000001, B=00000000
PC=00000048, SP=00000FE0, A=0000003B, B=00000001
PC=00000049, SP=00000FE3, A=0000003B, B=00000001
PC=0000003B, SP=00000FE3, A=00000001, B=00000001
PC=0000003C, SP=00000FE3, A=00000004, B=00000001
PC=0000003D, SP=00000FE3, A=00000001, B=00000001
PC=0000003E, SP=00000FE3, A=00000001, B=00000001
PC=0000003F, SP=00000FE3, A=00000001, B=00000001
PC=00000024, SP=00000FE3, A=00000040, B=00000001
PC=00000025, SP=00000FE0, A=00000040, B=00000001
PC=00000026, SP=00000FE0, A=00000001, B=00000001
PC=00000027, SP=00000FE0, A=00000001, B=00000001
PC=00000028, SP=00000FE0, A=00000001, B=00000001
PC=00000029, SP=00000FE0, A=00000002, B=00000001
PC=0000002A, SP=00000FE0, A=00000004, B=00000002
PC=0000002B, SP=00000FE0, A=FFFFFFFE, B=00000002
PC=00000030, SP=00000FE0, A=FFFFFFFE, B=00000002
PC=00000031, SP=00000FE0, A=00000001, B=FFFFFFFE
PC=00000032, SP=00000FE0, A=00000001, B=FFFFFFFE
PC=00000033, SP=00000FE0, A=00000004, B=00000001
PC=00000034, SP=00000FE0, A=00000003, B=00000001
PC=00000035, SP=00000FE0, A=00000001, B=00000001
PC=00000036, SP=00000FDF, A=00000001, B=00000001
PC=00000037, SP=00000FDF, A=00000003, B=00000001
PC=00000038, SP=00000FDF, A=00000001, B=00000001
PC=00000039, SP=00000FDF, A=00000001, B=00000001
PC=0000003A, SP=00000FDF, A=00000000, B=00000001
PC=00000024, SP=00000FDF, A=0000003B, B=00000000
PC=00000025, SP=00000FDC, A=0000003B, B=00000000
PC=00000026, SP=00000FDC, A=00000000, B=00000000
PC=00000027, SP=00000FDC, A=00000000, B=00000000
PC=00000028, SP=00000FDC, A=00000001, B=00000000
PC=00000029, SP=00000FDC, A=00000000, B=00000000
PC=0000002A, SP=00000FDC, A=00000003, B=00000000
PC=0000002B, SP=00000FDC, A=FFFFFFFD, B=00000000
PC=00000030, SP=00000FDC, A=FFFFFFFD, B=00000000
PC=00000031, SP=00000FDC, A=00000000, B=FFFFFFFD
PC=00000046, SP=00000FDC, A=00000000, B=FFFFFFFD
PC=00000047, SP=00000FDC, A=00000001, B=00000000
PC=00000048, SP=00000FDC, A=0000003B, B=00000001
PC=00000049, SP=00000FDF, A=0000003B, B=00000001
PC=0000003B, SP=00000FDF, A=00000001, B=00000001
PC=0000003C, SP=00000FDF, A=00000003, B=00000001
PC=0000003D, SP=00000FDF, A=00000001, B=00000001
PC=0000003E, SP=00000FDF, A=00000001, B=00000001
PC=0000003F, SP=00000FDF, A=00000001, B=00000001
PC=00000024, SP=00000FDF, A=00000040, B=00000001
PC=00000025, SP=00000FDC, A=00000040, B=00000001
PC=00000026, SP=00000FDC, A=00000001, B=00000001
PC=00000027, SP=00000FDC, A=00000001, B=00000001
PC=00000028, SP=00000FDC, A=00000001, B=00000001
PC=00000029, SP=00000FDC, A=00000002, B=00000001
PC=0000002A, SP=00000FDC, A=00000003, B=00000002
PC=0000002B, SP=00000FDC, A=FFFFFFFF, B=00000002
PC=00000030, SP=00000FDC, A=FFFFFFFF, B=00000002
PC=00000031, SP=00000FDC, A=00000001, B=FFFFFFFF
PC=00000032, SP=00000FDC, A=00000001, B=FFFFFFFF
PC=00000033, SP=00000FDC, A=00000003, B=00000001
PC=00000034, SP=00000FDC, A=00000002, B=00000001
PC=00000035, SP=00000FDC, A=00000001, B=00000001
PC=00000036, SP=00000FDB, A=00000001, B=00000001
PC=00000037, SP=00000FDB, A=00000002, B=00000001
PC=00000038, SP=00000FDB, A=00000001, B=00000001
PC=00000039, SP=00000FDB, A=00000001, B=00000001
PC=0000003A, SP=00000FDB, A=00000000, B=00000001
PC=00000024, SP=00000FDB, A=0000003B, B=00000000
PC=00000025, SP=00000FD8, A=0000003B, B=00000000
PC=00000026, SP=00000FD8, A=00000000, B=00000000
PC=00000027, SP=00000FD8, A=00000000, B=00000000
PC=00000028, SP=00000FD8, A=00000001, B=00000000
PC=00000029, SP=00000FD8, A=00000000, B=00000000
PC=0000002A, SP=00000FD8, A=00000002, B=00000000
PC=0000002B, SP=00000FD8, A=FFFFFFFE, B=00000000
PC=00000030, SP=00000FD8, A=FFFFFFFE, B=00000000
PC=00000031, SP=00000FD8, A=00000000, B=FFFFFFFE
PC=00000046, SP=00000FD8, A=00000000, B=FFFFFFFE
PC=00000047, SP=00000FD8, A=00000001, B=00000000
PC=00000048, SP=00000FD8, A=0000003B, B=00000001
PC=00000049, SP=00000FDB, A=0000003B, B=00000001
PC=0000003B, SP=00000FDB, A=00000001, B=00000001
PC=0000003C, SP=00000FDB, A=00000002, B=00000001
PC=0000003D, SP=00000FDB, A=00000001, B=00000001
PC=0000003E, SP=00000FDB, A=00000001, B=00000001
PC=0000003F, SP=00000FDB, A=00000001, B=00000001
PC=00000024, SP=00000FDB, A=00000040, B=00000001
PC=00000025, SP=00000FD8, A=00000040, B=00000001
PC=00000026, SP=00000FD8, A=00000001, B=00000001
PC=00000027, SP=00000FD8, A=00000001, B=00000001
PC=00000028, SP=00000FD8, A=00000001, B=00000001
PC=00000029, SP=00000FD8, A=00000002, B=00000001
PC=0000002A, SP=00000FD8, A=00000002, B=00000002
PC=0000002B, SP=00000FD8, A=00000000, B=00000002
PC=0000002C, SP=00000FD8, A=00000000, B=00000002
PC=0000002D, SP=00000FD8, A=00000002, B=00000000
PC=0000002E, SP=00000FD8, A=00000001, B=00000002
PC=0000002F, SP=00000FD8, A=00000001, B=00000002
PC=00000030, SP=00000FD8, A=00000002, B=00000002
PC=00000031, SP=00000FD8, A=00000001, B=00000002
PC=00000032, SP=00000FD8, A=00000001, B=00000002
PC=00000033, SP=00000FD8, A=00000002, B=00000001
PC=00000034, SP=00000FD8, A=00000001, B=00000001
PC=00000035, SP=00000FD8, A=00000001, B=00000001
PC=00000036, SP=00000FD7, A=00000001, B=00000001
PC=00000037, SP=00000FD7, A=00000001, B=00000001
PC=00000038, SP=00000FD7, A=00000001, B=00000001
PC=00000039, SP=00000FD7, A=00000001, B=00000001
PC=0000003A, SP=00000FD7, A=00000000, B=00000001
PC=00000024, SP=00000FD7, A=0000003B, B=00000000
PC=00000025, SP=00000FD4, A=0000003B, B=00000000
PC=00000026, SP=00000FD4, A=00000000, B=00000000
PC=00000027, SP=00000FD4, A=00000000, B=00000000
PC=00000028, SP=00000FD4, A=00000001, B=00000000
PC=00000029, SP=00000FD4, A=00000000, B=00000000
PC=0000002A, SP=00000FD4, A=00000001, B=00000000
PC=0000002B, SP=00000FD4, A=FFFFFFFF, B=00000000
PC=00000030, SP=00000FD4, A=FFFFFFFF, B=00000000
PC=00000031, SP=00000FD4, A=00000000, B=FFFFFFFF
PC=00000046, SP=00000FD4, A=00000000, B=FFFFFFFF
PC=00000047, SP=00000FD4, A=00000001, B=00000000
PC=00000048, SP=00000FD4, A=0000003B, B=00000001
PC=00000049, SP=00000FD7, A=0000003B, B=00000001
PC=0000003B, SP=00000FD7, A=00000001, B=00000001
PC=0000003C, SP=00000FD7, A=00000001, B=00000001
PC=0000003D, SP=00000FD7, A=00000001, B=00000001
PC=0000003E, SP=00000FD7, A=00000001, B=00000001
PC=0000003F, SP=00000FD7, A=00000001, B=00000001
PC=00000024, SP=00000FD7, A=00000040, B=00000001
PC=00000025, SP=00000FD4, A=00000040, B=00000001
PC=00000026, SP=00000FD4, A=00000001, B=00000001
PC=00000027, SP=00000FD4, A=00000001, B=00000001
PC=00000028, SP=00000FD4, A=00000001, B=00000001
PC=00000029, SP=00000FD4, A=00000002, B=00000001
PC=0000002A, SP=00000FD4, A=00000001, B=00000002
PC=0000002B, SP=00000FD4, A=00000001, B=00000002
PC=0000002C, SP=00000FD4, A=00000001, B=00000002
PC=0000002D, SP=00000FD4, A=00000001, B=00000001
PC=0000002E, SP=00000FD4, A=00000001, B=00000001
PC=0000002F, SP=00000FD4, A=00000000, B=00000001
PC=00000030, SP=00000FD4, A=00000001, B=00000001
PC=00000031, SP=00000FD4, A=00000000, B=00000001
PC=00000046, SP=00000FD4, A=00000000, B=00000001
PC=00000047, SP=00000FD4, A=00000001, B=00000000
PC=00000048, SP=00000FD4, A=00000040, B=00000001
PC=00000049, SP=00000FD7, A=00000040, B=00000001
PC=00000040, SP=00000FD7, A=00000001, B=00000001
PC=00000041, SP=00000FD8, A=00000001, B=00000001
PC=00000042, SP=00000FD8, A=00000001, B=00000001
PC=00000043, SP=00000FD8, A=00000002, B=00000001
PC=00000044, SP=00000FD8, A=00000040, B=00000002
PC=00000045, SP=00000FDB, A=00000040, B=00000002
